No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m55s17f.jpg, 14:55, no pain, 0.69884 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_14m55s23f.jpg, 14:55, no pain, 0.50339 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m02s21f.jpg, 15:02, no pain, 0.68345 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m02s27f.jpg, 15:02, no pain, 0.74383 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m17s10f.jpg, 15:17, no pain, 0.51636 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m18s02f.jpg, 15:18, no pain, 0.79214 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m22s27f.jpg, 15:22, no pain, 0.77252 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m23s07f.jpg, 15:23, no pain, 0.80674 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m31s29f.jpg, 15:31, no pain, 0.73892 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m38s20f.jpg, 15:38, no pain, 0.75865 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m45s24f.jpg, 15:45, no pain, 0.66871 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m47s17f.jpg, 15:47, no pain, 0.82199 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m59s01f.jpg, 15:59, pain, 0.51650 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_15m59s02f.jpg, 15:59, no pain, 0.69560 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m03s07f.jpg, 16:03, pain, 0.59457 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m03s26f.jpg, 16:03, pain, 0.67356 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m11s12f.jpg, 16:11, no pain, 0.92120 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m11s13f.jpg, 16:11, no pain, 0.81464 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m23s12f.jpg, 16:23, no pain, 0.81241 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m25s21f.jpg, 16:25, no pain, 0.71495 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m26s11f.jpg, 16:26, no pain, 0.68918 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m33s13f.jpg, 16:33, no pain, 0.63046 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m37s10f.jpg, 16:37, no pain, 0.77010 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m39s02f.jpg, 16:39, no pain, 0.81990 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m40s28f.jpg, 16:40, no pain, 0.76589 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m41s11f.jpg, 16:41, no pain, 0.50978 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m41s25f.jpg, 16:41, no pain, 0.69510 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m43s10f.jpg, 16:43, no pain, 0.65438 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m53s17f.jpg, 16:53, no pain, 0.56768 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_16m54s05f.jpg, 16:54, no pain, 0.61684 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m00s05f.jpg, 17:00, no pain, 0.72661 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m07s20f.jpg, 17:07, no pain, 0.84820 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m11s24f.jpg, 17:11, no pain, 0.74359 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m14s13f.jpg, 17:14, no pain, 0.73168 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m16s22f.jpg, 17:16, no pain, 0.73177 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m20s19f.jpg, 17:20, no pain, 0.81431 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m20s21f.jpg, 17:20, no pain, 0.69278 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m22s27f.jpg, 17:22, pain, 0.54351 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m22s28f.jpg, 17:22, pain, 0.59639 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m36s22f.jpg, 17:36, no pain, 0.86704 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m36s25f.jpg, 17:36, no pain, 0.83347 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m37s22f.jpg, 17:37, pain, 0.73397 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m43s13f.jpg, 17:43, no pain, 0.88615 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m43s28f.jpg, 17:43, no pain, 0.51750 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m44s01f.jpg, 17:44, pain, 0.52078 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m47s24f.jpg, 17:47, no pain, 0.62283 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m50s21f.jpg, 17:50, no pain, 0.61317 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m57s26f.jpg, 17:57, pain, 0.83665 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_17m57s27f.jpg, 17:57, pain, 0.72822 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m02s13f.jpg, 18:02, no pain, 0.71848 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m02s14f.jpg, 18:02, pain, 0.74884 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m07s16f.jpg, 18:07, pain, 0.88839 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m11s09f.jpg, 18:11, no pain, 0.76967 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m11s17f.jpg, 18:11, pain, 0.86434 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m12s27f.jpg, 18:12, no pain, 0.72061 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m18s22f.jpg, 18:18, pain, 0.86317 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m20s12f.jpg, 18:20, pain, 0.84465 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m20s25f.jpg, 18:20, no pain, 0.82521 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m28s06f.jpg, 18:28, pain, 0.63344 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m32s18f.jpg, 18:32, pain, 0.73879 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m32s20f.jpg, 18:32, pain, 0.56607 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m41s08f.jpg, 18:41, pain, 0.64016 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m44s02f.jpg, 18:44, pain, 0.74048 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m53s11f.jpg, 18:53, no pain, 0.51682 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_18m53s29f.jpg, 18:53, no pain, 0.77560 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m04s14f.jpg, 19:04, no pain, 0.62346 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m04s23f.jpg, 19:04, no pain, 0.57868 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m12s19f.jpg, 19:12, no pain, 0.68926 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m13s13f.jpg, 19:13, no pain, 0.75815 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m22s22f.jpg, 19:22, no pain, 0.84863 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m25s17f.jpg, 19:25, no pain, 0.78447 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m32s16f.jpg, 19:32, pain, 0.55090 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m32s26f.jpg, 19:32, pain, 0.54539 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m47s13f.jpg, 19:47, pain, 0.73053 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m48s07f.jpg, 19:48, no pain, 0.56881 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m51s13f.jpg, 19:51, pain, 0.58255 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_19m54s13f.jpg, 19:54, pain, 0.60389 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m04s28f.jpg, 20:04, pain, 0.66194 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m05s28f.jpg, 20:05, pain, 0.70843 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m15s07f.jpg, 20:15, no pain, 0.77016 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m16s22f.jpg, 20:16, no pain, 0.72431 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m25s17f.jpg, 20:25, no pain, 0.63097 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m25s21f.jpg, 20:25, no pain, 0.57558 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m31s07f.jpg, 20:31, no pain, 0.69944 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m45s25f.jpg, 20:45, pain, 0.79404 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m47s07f.jpg, 20:47, pain, 0.64642 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m57s07f.jpg, 20:57, no pain, 0.56275 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_20m58s28f.jpg, 20:58, pain, 0.58576 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m05s13f.jpg, 21:05, no pain, 0.54989 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m06s13f.jpg, 21:06, no pain, 0.77945 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m13s25f.jpg, 21:13, no pain, 0.54078 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m14s25f.jpg, 21:14, no pain, 0.65604 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m27s22f.jpg, 21:27, no pain, 0.73832 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m28s13f.jpg, 21:28, no pain, 0.64408 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m35s02f.jpg, 21:35, no pain, 0.63553 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m38s07f.jpg, 21:38, no pain, 0.63670 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m47s07f.jpg, 21:47, no pain, 0.57004 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m47s25f.jpg, 21:47, no pain, 0.52771 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m51s25f.jpg, 21:51, no pain, 0.64788 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_21m56s25f.jpg, 21:56, no pain, 0.58247 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m04s10f.jpg, 22:04, no pain, 0.69491 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m05s17f.jpg, 22:05, no pain, 0.59952 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m12s10f.jpg, 22:12, no pain, 0.69527 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m13s17f.jpg, 22:13, no pain, 0.55000 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m22s28f.jpg, 22:22, no pain, 0.62770 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m26s22f.jpg, 22:26, no pain, 0.69099 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m31s28f.jpg, 22:31, no pain, 0.53266 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m34s22f.jpg, 22:34, no pain, 0.72138 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m44s28f.jpg, 22:44, no pain, 0.51674 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m45s02f.jpg, 22:45, pain, 0.75501 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m50s07f.jpg, 22:50, no pain, 0.60736 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_22m50s25f.jpg, 22:50, no pain, 0.64258 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m07s28f.jpg, 23:07, pain, 0.50146 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m08s07f.jpg, 23:08, pain, 0.59235 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m10s22f.jpg, 23:10, no pain, 0.64784 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m14s19f.jpg, 23:14, pain, 0.60567 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m32s09f.jpg, 23:32, pain, 0.51284 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m34s04f.jpg, 23:34, pain, 0.50446 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_23m58s10f.jpg, 23:58, no pain, 0.58523 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m00s09f.jpg, 24:00, pain, 0.82360 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m01s28f.jpg, 24:01, pain, 0.60269 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m14s28f.jpg, 24:14, pain, 0.56730 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m15s08f.jpg, 24:15, pain, 0.67485 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m20s13f.jpg, 24:20, no pain, 0.53352 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m34s05f.jpg, 24:34, no pain, 0.64763 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m35s10f.jpg, 24:35, pain, 0.55038 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m46s06f.jpg, 24:46, no pain, 0.81128 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m47s07f.jpg, 24:47, no pain, 0.68888 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m54s14f.jpg, 24:54, no pain, 0.70069 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_24m57s10f.jpg, 24:57, no pain, 0.64866 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m02s22f.jpg, 25:02, no pain, 0.67219 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m08s28f.jpg, 25:08, no pain, 0.77517 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m17s13f.jpg, 25:17, pain, 0.55889 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m18s02f.jpg, 25:18, no pain, 0.58710 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m20s10f.jpg, 25:20, pain, 0.50473 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m24s10f.jpg, 25:24, pain, 0.50191 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m33s17f.jpg, 25:33, pain, 0.64500 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m33s22f.jpg, 25:33, pain, 0.64230 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m45s13f.jpg, 25:45, pain, 0.62511 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m48s22f.jpg, 25:48, pain, 0.68619 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m55s05f.jpg, 25:55, pain, 0.73605 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_25m56s13f.jpg, 25:56, pain, 0.60548 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m01s04f.jpg, 26:01, pain, 0.64676 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m09s02f.jpg, 26:09, pain, 0.79682 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m11s28f.jpg, 26:11, no pain, 0.62101 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m12s06f.jpg, 26:12, no pain, 0.51773 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m32s18f.jpg, 26:32, pain, 0.60920 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m32s19f.jpg, 26:32, no pain, 0.51776 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m46s17f.jpg, 26:46, no pain, 0.57763 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_26m47s19f.jpg, 26:47, no pain, 0.55356 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m00s22f.jpg, 27:00, pain, 0.50773 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m08s19f.jpg, 27:08, no pain, 0.69992 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m11s25f.jpg, 27:11, no pain, 0.62302 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m12s10f.jpg, 27:12, no pain, 0.69174 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m28s13f.jpg, 27:28, pain, 0.62454 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m35s07f.jpg, 27:35, no pain, 0.62074 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_27m35s13f.jpg, 27:35, no pain, 0.82172 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m08s10f.jpg, 28:08, no pain, 0.82197 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m08s13f.jpg, 28:08, no pain, 0.82627 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m15s20f.jpg, 28:15, pain, 0.56101 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m16s04f.jpg, 28:16, pain, 0.70028 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m23s04f.jpg, 28:23, no pain, 0.53797 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m25s04f.jpg, 28:25, pain, 0.58273 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m33s28f.jpg, 28:33, pain, 0.63505 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m34s25f.jpg, 28:34, pain, 0.62420 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m40s28f.jpg, 28:40, pain, 0.52282 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m46s07f.jpg, 28:46, pain, 0.70482 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m50s28f.jpg, 28:50, pain, 0.59228 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_28m54s10f.jpg, 28:54, pain, 0.63216 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m04s28f.jpg, 29:04, pain, 0.51330 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m08s04f.jpg, 29:08, no pain, 0.51068 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m11s13f.jpg, 29:11, pain, 0.57473 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m14s25f.jpg, 29:14, pain, 0.59939 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m23s17f.jpg, 29:23, pain, 0.70013 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m24s10f.jpg, 29:24, pain, 0.58292 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m30s13f.jpg, 29:30, pain, 0.61890 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m33s17f.jpg, 29:33, no pain, 0.75718 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m52s02f.jpg, 29:52, pain, 0.52964 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_29m53s13f.jpg, 29:53, no pain, 0.83339 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m08s12f.jpg, 30:08, pain, 0.50438 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m08s15f.jpg, 30:08, no pain, 0.77857 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m10s04f.jpg, 30:10, no pain, 0.73489 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m10s13f.jpg, 30:10, no pain, 0.61334 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m35s22f.jpg, 30:35, pain, 0.64535 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m38s10f.jpg, 30:38, pain, 0.55804 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m43s02f.jpg, 30:43, pain, 0.64105 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m44s02f.jpg, 30:44, pain, 0.68580 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m51s02f.jpg, 30:51, pain, 0.63350 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_30m58s17f.jpg, 30:58, pain, 0.69283 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_31m00s22f.jpg, 31:00, pain, 0.60555 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_31m02s22f.jpg, 31:02, pain, 0.53615 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_31m12s02f.jpg, 31:12, pain, 0.66346 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_31m13s28f.jpg, 31:13, pain, 0.74170 
No Pain/face_clean_cd1_4ZYM_3-10-17m01cd1_4ZYM_3-10-17m02_31m25s28f.jpg, 31:25, pain, 0.71519 
